CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 813.121094 1523376577.2112
MEM 815.785156 1523376577.3195
MEM 815.785156 1523376577.4294
MEM 815.785156 1523376577.5365
MEM 815.789062 1523376577.6462
MEM 815.789062 1523376577.7577
MEM 815.792969 1523376577.8692
MEM 815.796875 1523376577.9771
MEM 812.984375 1523376578.0840
MEM 815.804688 1523376578.1905
MEM 815.808594 1523376578.2995
MEM 815.808594 1523376578.4071
MEM 815.812500 1523376578.5174
MEM 815.816406 1523376578.6279
MEM 815.816406 1523376578.7334
MEM 813.160156 1523376578.8429
MEM 808.929688 1523376578.9518
MEM 815.820312 1523376579.0615
MEM 815.828125 1523376579.1677
MEM 815.828125 1523376579.2802
MEM 815.835938 1523376579.3894
MEM 815.839844 1523376579.5021
MEM 815.839844 1523376579.6126
MEM 815.843750 1523376579.7220
MEM 813.183594 1523376579.8300
MEM 815.851562 1523376579.9392
MEM 815.851562 1523376580.0518
MEM 815.855469 1523376580.1593
MEM 815.855469 1523376580.2702
MEM 815.859375 1523376580.3787
MEM 815.863281 1523376580.4868
MEM 813.210938 1523376580.5950
MEM 802.632812 1523376580.7006
MEM 815.875000 1523376580.8072
MEM 815.875000 1523376580.9178
MEM 723.996094 1523376581.0273
MEM 723.996094 1523376581.1379
MEM 724.000000 1523376581.2478
MEM 711.515625 1523376581.3552
MEM 711.515625 1523376581.4644
MEM 711.519531 1523376581.5718
MEM 711.523438 1523376581.6774
MEM 711.523438 1523376581.7853
MEM 724.492188 1523376581.8953
MEM 724.496094 1523376582.0008
MEM 724.496094 1523376582.1093
